Member A,Class A,Member B,Class B,Volume (m³)
278,brace,31,leg,N/A
183,horizontal,78,leg,N/A
316,brace,53,leg,N/A
359,brace,368,brace,3.725199e-09
137,horizontal,273,brace,6.582533e-07
15,leg,246,brace,N/A
376,brace,400,brace,2.500191e-06
222,brace,4,leg,N/A
124,horizontal,21,leg,N/A
11,leg,229,brace,N/A
361,brace,77,leg,N/A
296,brace,45,leg,N/A
263,brace,28,leg,N/A
273,brace,38,leg,N/A
408,brace,433,brace,1.834685e-07
315,brace,57,leg,N/A
273,brace,35,leg,N/A
166,horizontal,60,leg,N/A
108,horizontal,11,leg,N/A
342,brace,60,leg,N/A
107,horizontal,228,brace,7.851999e-06
446,brace,92,leg,N/A
113,horizontal,235,brace,6.400172e-07
139,horizontal,283,brace,6.197174e-07
276,brace,29,leg,N/A
173,horizontal,358,brace,2.824935e-05
315,brace,331,brace,9.478985e-06
241,brace,245,brace,3.519421e-06
157,horizontal,321,brace,7.040893e-07
371,brace,372,brace,2.381810e-06
383,brace,384,brace,2.263015e-06
381,brace,83,leg,N/A
261,brace,27,leg,N/A
54,leg,58,leg,N/A
307,brace,311,brace,6.405012e-06
203,horizontal,447,brace,7.142746e-06
212,brace,97,horizontal,1.044109e-06
181,horizontal,365,brace,5.188296e-06
26,leg,269,brace,N/A
106,horizontal,216,brace,6.400783e-07
152,horizontal,155,horizontal,1.545057e-06
174,horizontal,175,horizontal,9.112402e-07
234,brace,246,brace,3.476685e-06
175,horizontal,369,brace,5.263844e-06
140,horizontal,40,leg,N/A
125,horizontal,22,leg,N/A
428,brace,453,brace,2.397090e-07
203,horizontal,448,brace,7.142747e-06
129,horizontal,25,leg,N/A
156,horizontal,321,brace,1.336540e-05
340,brace,62,leg,N/A
136,horizontal,271,brace,1.048063e-05
161,horizontal,318,brace,1.672461e-05
143,horizontal,291,brace,6.222347e-07
139,horizontal,271,brace,6.582533e-07
123,horizontal,23,leg,N/A
123,horizontal,27,leg,N/A
122,horizontal,247,brace,1.104272e-06
193,horizontal,422,brace,5.189436e-06
154,horizontal,322,brace,7.040893e-07
121,horizontal,20,leg,N/A
327,brace,57,leg,N/A
210,brace,214,brace,3.274242e-06
194,horizontal,432,brace,6.942797e-06
324,brace,340,brace,1.268725e-05
257,brace,269,brace,3.497105e-06
279,brace,37,leg,N/A
180,horizontal,364,brace,5.188302e-06
290,brace,294,brace,4.941456e-06
398,brace,415,brace,1.491358e-07
432,brace,85,leg,N/A
12,leg,235,brace,N/A
39,leg,43,leg,N/A
288,brace,292,brace,4.941456e-06
110,horizontal,13,leg,N/A
209,brace,213,brace,3.274242e-06
272,brace,276,brace,4.751185e-06
204,horizontal,442,brace,7.691083e-06
89,leg,93,leg,N/A
263,brace,267,brace,3.766075e-06
183,horizontal,385,brace,5.315668e-06
122,horizontal,20,leg,N/A
119,horizontal,21,leg,N/A
359,brace,72,leg,N/A
397,brace,83,leg,N/A
117,horizontal,246,brace,8.276783e-06
171,horizontal,66,leg,N/A
187,horizontal,81,leg,N/A
427,brace,94,leg,N/A
280,brace,292,brace,4.703400e-06
285,brace,38,leg,N/A
13,leg,224,brace,N/A
154,horizontal,307,brace,1.158315e-05
423,brace,447,brace,3.917074e-06
1,leg,208,brace,N/A
120,horizontal,19,leg,N/A
168,horizontal,337,brace,2.200452e-05
131,horizontal,27,leg,N/A
426,brace,434,brace,3.862433e-06
20,leg,250,brace,N/A
441,brace,442,brace,2.921059e-06
141,horizontal,142,horizontal,6.400172e-07
106,horizontal,227,brace,7.851999e-06
22,leg,241,brace,N/A
49,leg,53,leg,N/A
336,brace,61,leg,N/A
265,brace,30,leg,N/A
133,horizontal,33,leg,N/A
103,horizontal,104,horizontal,6.399562e-07
100,horizontal,2,leg,N/A
165,horizontal,63,leg,N/A
114,horizontal,115,horizontal,6.400172e-07
149,horizontal,296,brace,1.308550e-05
104,horizontal,3,leg,N/A
271,brace,283,brace,4.607649e-06
205,horizontal,451,brace,7.142746e-06
33,leg,37,leg,N/A
366,brace,72,leg,N/A
248,brace,252,brace,4.693681e-06
298,brace,47,leg,N/A
131,horizontal,258,brace,7.727927e-06
118,horizontal,239,brace,8.276783e-06
37,leg,41,leg,N/A
114,horizontal,231,brace,8.128670e-06
124,horizontal,127,horizontal,6.400172e-07
322,brace,55,leg,N/A
331,brace,53,leg,N/A
439,brace,447,brace,3.967182e-06
274,brace,32,leg,N/A
180,horizontal,181,horizontal,6.400020e-07
26,leg,260,brace,N/A
282,brace,36,leg,N/A
119,horizontal,22,leg,N/A
350,brace,64,leg,N/A
337,brace,66,leg,N/A
375,brace,384,brace,3.653630e-09
412,brace,437,brace,1.834685e-07
172,horizontal,358,brace,1.198134e-06
346,brace,64,leg,N/A
409,brace,433,brace,2.976373e-06
188,horizontal,395,brace,6.265128e-06
393,brace,417,brace,2.453137e-06
209,brace,221,brace,3.274235e-06
142,horizontal,281,brace,9.967258e-06
354,brace,71,leg,N/A
194,horizontal,195,horizontal,6.400211e-07
415,brace,84,leg,N/A
267,brace,28,leg,N/A
141,horizontal,293,brace,6.222347e-07
185,horizontal,79,leg,N/A
164,horizontal,165,horizontal,9.112015e-07
338,brace,67,leg,N/A
351,brace,374,brace,5.043994e-07
308,brace,320,brace,7.030904e-06
108,horizontal,109,horizontal,6.400172e-07
376,brace,77,leg,N/A
124,horizontal,259,brace,7.536569e-06
25,leg,260,brace,N/A
74,leg,78,leg,N/A
141,horizontal,41,leg,N/A
392,brace,400,brace,2.618756e-06
116,horizontal,15,leg,N/A
395,brace,396,brace,2.135594e-06
133,horizontal,265,brace,6.644370e-07
370,brace,371,brace,2.338093e-06
177,horizontal,374,brace,5.263842e-06
185,horizontal,76,leg,N/A
303,brace,44,leg,N/A
289,brace,43,leg,N/A
0,leg,207,brace,N/A
192,horizontal,419,brace,5.189437e-06
247,brace,259,brace,3.808301e-06
188,horizontal,189,horizontal,6.399829e-07
111,horizontal,236,brace,8.128670e-06
196,horizontal,427,brace,7.474247e-06
179,horizontal,73,leg,N/A
153,horizontal,49,leg,N/A
167,horizontal,168,horizontal,9.112643e-07
301,brace,305,brace,6.022320e-06
148,horizontal,311,brace,1.134613e-05
309,brace,50,leg,N/A
146,horizontal,43,leg,N/A
10,leg,225,brace,N/A
391,brace,415,brace,2.453137e-06
170,horizontal,355,brace,2.824935e-05
357,brace,71,leg,N/A
201,horizontal,423,brace,1.186838e-06
21,leg,251,brace,N/A
315,brace,53,leg,N/A
351,brace,367,brace,5.457619e-06
177,horizontal,68,leg,N/A
201,horizontal,429,brace,3.281039e-07
23,leg,242,brace,N/A
114,horizontal,16,leg,N/A
162,horizontal,340,brace,1.189442e-06
127,horizontal,247,brace,6.400172e-07
61,leg,65,leg,N/A
155,horizontal,156,horizontal,6.399677e-07
200,horizontal,435,brace,3.532980e-07
295,brace,44,leg,N/A
19,leg,245,brace,N/A
128,horizontal,25,leg,N/A
179,horizontal,74,leg,N/A
414,brace,422,brace,2.324595e-06
168,horizontal,349,brace,2.378340e-05
79,leg,83,leg,N/A
205,horizontal,94,leg,N/A
177,horizontal,367,brace,1.343790e-06
174,horizontal,374,brace,1.343790e-06
393,brace,402,brace,3.586753e-09
380,brace,387,brace,3.642665e-09
128,horizontal,255,brace,7.727927e-06
132,horizontal,135,horizontal,6.399867e-07
216,brace,9,leg,N/A
361,brace,384,brace,1.320182e-07
103,horizontal,208,brace,7.852196e-06
313,brace,47,leg,N/A
168,horizontal,350,brace,1.193025e-06
91,leg,95,leg,N/A
209,brace,6,leg,N/A
187,horizontal,393,brace,6.265128e-06
161,horizontal,333,brace,8.994886e-07
104,horizontal,7,leg,N/A
159,horizontal,57,leg,N/A
127,horizontal,20,leg,N/A
166,horizontal,167,horizontal,9.112643e-07
350,brace,63,leg,N/A
429,brace,453,brace,3.917074e-06
202,horizontal,435,brace,3.998264e-07
432,brace,89,leg,N/A
420,brace,421,brace,2.180615e-06
18,leg,241,brace,N/A
442,brace,449,brace,5.051850e-09
232,brace,236,brace,3.433837e-06
201,horizontal,202,horizontal,1.545103e-06
282,brace,286,brace,4.474029e-06
159,horizontal,331,brace,8.994683e-07
17,leg,252,brace,N/A
1,leg,102,horizontal,N/A
441,brace,450,brace,5.052305e-09
410,brace,435,brace,1.834685e-07
422,brace,80,leg,N/A
274,brace,286,brace,4.607649e-06
167,horizontal,61,leg,N/A
185,horizontal,390,brace,5.315662e-06
109,horizontal,11,leg,N/A
174,horizontal,367,brace,5.263844e-06
213,brace,96,horizontal,1.044109e-06
428,brace,91,leg,N/A
365,brace,79,leg,N/A
194,horizontal,198,horizontal,1.810193e-06
392,brace,417,brace,1.491358e-07
182,horizontal,185,horizontal,6.400211e-07
108,horizontal,218,brace,6.400783e-07
18,leg,233,brace,N/A
109,horizontal,215,brace,6.400783e-07
271,brace,33,leg,N/A
150,horizontal,51,leg,N/A
120,horizontal,242,brace,6.400172e-07
358,brace,68,leg,N/A
130,horizontal,30,leg,N/A
418,brace,86,leg,N/A
429,brace,437,brace,3.862435e-06
163,horizontal,61,leg,N/A
0,leg,96,horizontal,N/A
233,brace,237,brace,3.433837e-06
366,brace,374,brace,2.177902e-06
208,brace,5,leg,N/A
23,leg,27,leg,N/A
15,leg,19,leg,N/A
294,brace,40,leg,N/A
398,brace,422,brace,2.453134e-06
220,brace,5,leg,N/A
146,horizontal,42,leg,N/A
347,brace,64,leg,N/A
187,horizontal,394,brace,6.265125e-06
345,brace,70,leg,N/A
218,brace,230,brace,3.274242e-06
301,brace,46,leg,N/A
301,brace,47,leg,N/A
305,brace,46,leg,N/A
227,brace,8,leg,N/A
277,brace,34,leg,N/A
122,horizontal,123,horizontal,2.560044e-06
438,brace,84,leg,N/A
423,brace,431,brace,3.862435e-06
215,brace,8,leg,N/A
281,brace,293,brace,4.703400e-06
128,horizontal,28,leg,N/A
164,horizontal,62,leg,N/A
339,brace,60,leg,N/A
110,horizontal,235,brace,8.128670e-06
143,horizontal,43,leg,N/A
211,brace,96,horizontal,1.044109e-06
195,horizontal,196,horizontal,6.400211e-07
266,brace,31,leg,N/A
100,horizontal,3,leg,N/A
326,brace,342,brace,1.268725e-05
135,horizontal,35,leg,N/A
412,brace,91,leg,N/A
102,horizontal,5,leg,N/A
112,horizontal,237,brace,8.128670e-06
427,brace,435,brace,3.862435e-06
175,horizontal,69,leg,N/A
106,horizontal,107,horizontal,6.400172e-07
134,horizontal,34,leg,N/A
358,brace,67,leg,N/A
443,brace,444,brace,2.921059e-06
226,brace,230,brace,3.274897e-06
109,horizontal,8,leg,N/A
202,horizontal,431,brace,3.998264e-07
190,horizontal,193,horizontal,6.399829e-07
364,brace,371,brace,3.729079e-09
431,brace,84,leg,N/A
198,horizontal,433,brace,1.250816e-06
227,brace,4,leg,N/A
395,brace,82,leg,N/A
175,horizontal,352,brace,2.866600e-05
266,brace,270,brace,3.766075e-06
215,brace,4,leg,N/A
25,leg,29,leg,N/A
273,brace,285,brace,4.607649e-06
429,brace,452,brace,2.397049e-07
149,horizontal,46,leg,N/A
315,brace,52,leg,N/A
196,horizontal,90,leg,N/A
364,brace,372,brace,2.177902e-06
127,horizontal,262,brace,7.536569e-06
115,horizontal,13,leg,N/A
307,brace,49,leg,N/A
103,horizontal,2,leg,N/A
174,horizontal,369,brace,1.343790e-06
163,horizontal,57,leg,N/A
396,brace,397,brace,1.944707e-06
104,horizontal,222,brace,6.399562e-07
191,horizontal,85,leg,N/A
306,brace,44,leg,N/A
206,horizontal,453,brace,7.142746e-06
417,brace,81,leg,N/A
126,horizontal,261,brace,7.536569e-06
398,brace,84,leg,N/A
145,horizontal,42,leg,N/A
192,horizontal,411,brace,5.540765e-06
183,horizontal,77,leg,N/A
289,brace,305,brace,5.449104e-06
27,leg,270,brace,N/A
165,horizontal,60,leg,N/A
376,brace,81,leg,N/A
133,horizontal,29,leg,N/A
183,horizontal,378,brace,5.679235e-06
72,leg,76,leg,N/A
24,leg,255,brace,N/A
201,horizontal,438,brace,1.250820e-06
316,brace,58,leg,N/A
426,brace,451,brace,2.397090e-07
306,brace,43,leg,N/A
84,leg,88,leg,N/A
168,horizontal,62,leg,N/A
117,horizontal,19,leg,N/A
409,brace,417,brace,2.324582e-06
224,brace,236,brace,3.352943e-06
155,horizontal,50,leg,N/A
362,brace,74,leg,N/A
109,horizontal,4,leg,N/A
180,horizontal,74,leg,N/A
152,horizontal,54,leg,N/A
118,horizontal,240,brace,6.400172e-07
288,brace,41,leg,N/A
376,brace,384,brace,2.381296e-06
364,brace,75,leg,N/A
275,brace,33,leg,N/A
407,brace,431,brace,2.976373e-06
144,horizontal,303,brace,1.266240e-05
298,brace,302,brace,6.133394e-06
128,horizontal,267,brace,8.473809e-06
154,horizontal,155,horizontal,6.399677e-07
310,brace,314,brace,6.405012e-06
323,brace,60,leg,N/A
343,brace,64,leg,N/A
367,brace,72,leg,N/A
391,brace,398,brace,1.944710e-06
101,horizontal,3,leg,N/A
354,brace,358,brace,2.327243e-05
186,horizontal,399,brace,5.854139e-06
162,horizontal,324,brace,9.221391e-07
149,horizontal,50,leg,N/A
280,brace,41,leg,N/A
19,leg,242,brace,N/A
108,horizontal,229,brace,7.851999e-06
22,leg,261,brace,N/A
102,horizontal,207,brace,7.852196e-06
203,horizontal,204,horizontal,6.399839e-07
130,horizontal,31,leg,N/A
157,horizontal,52,leg,N/A
318,brace,334,brace,9.478985e-06
375,brace,406,brace,1.514331e-07
420,brace,87,leg,N/A
179,horizontal,361,brace,5.188296e-06
107,horizontal,216,brace,7.853698e-06
118,horizontal,252,brace,6.400172e-07
175,horizontal,70,leg,N/A
26,leg,30,leg,N/A
393,brace,81,leg,N/A
136,horizontal,32,leg,N/A
78,leg,82,leg,N/A
366,brace,373,brace,3.729079e-09
153,horizontal,55,leg,N/A
153,horizontal,157,horizontal,1.545057e-06
363,brace,364,brace,2.385790e-06
311,brace,45,leg,N/A
382,brace,389,brace,3.642665e-09
138,horizontal,286,brace,6.197174e-07
297,brace,51,leg,N/A
159,horizontal,53,leg,N/A
239,brace,243,brace,3.519421e-06
149,horizontal,150,horizontal,6.400172e-07
284,brace,37,leg,N/A
164,horizontal,342,brace,1.189442e-06
314,brace,48,leg,N/A
115,horizontal,232,brace,8.128670e-06
10,leg,108,horizontal,N/A
15,leg,237,brace,N/A
353,brace,70,leg,N/A
137,horizontal,285,brace,6.197174e-07
153,horizontal,309,brace,1.280485e-06
193,horizontal,413,brace,5.540765e-06
395,brace,403,brace,2.618787e-06
345,brace,357,brace,2.111612e-05
172,horizontal,173,horizontal,9.112402e-07
203,horizontal,92,leg,N/A
126,horizontal,262,brace,6.103299e-07
152,horizontal,322,brace,1.266392e-06
134,horizontal,31,leg,N/A
333,brace,59,leg,N/A
347,brace,65,leg,N/A
341,brace,63,leg,N/A
25,leg,259,brace,N/A
184,horizontal,387,brace,5.315668e-06
200,horizontal,430,brace,3.280990e-07
176,horizontal,71,leg,N/A
129,horizontal,256,brace,7.727927e-06
279,brace,283,brace,4.474029e-06
421,brace,83,leg,N/A
24,leg,28,leg,N/A
206,horizontal,446,brace,7.691083e-06
395,brace,418,brace,1.491348e-07
148,horizontal,298,brace,6.527667e-07
406,brace,80,leg,N/A
310,brace,48,leg,N/A
426,brace,94,leg,N/A
0,leg,105,horizontal,N/A
62,leg,66,leg,N/A
361,brace,73,leg,N/A
133,horizontal,30,leg,N/A
349,brace,67,leg,N/A
362,brace,370,brace,2.177902e-06
146,horizontal,306,brace,6.265995e-07
143,horizontal,279,brace,6.597878e-07
191,horizontal,192,horizontal,6.399829e-07
118,horizontal,17,leg,N/A
387,brace,74,leg,N/A
41,leg,45,leg,N/A
295,brace,299,brace,6.133394e-06
408,brace,415,brace,3.676028e-09
146,horizontal,47,leg,N/A
16,leg,246,brace,N/A
169,horizontal,63,leg,N/A
105,horizontal,3,leg,N/A
369,brace,73,leg,N/A
137,horizontal,37,leg,N/A
325,brace,329,brace,1.208448e-05
346,brace,71,leg,N/A
38,leg,42,leg,N/A
354,brace,372,brace,5.043994e-07
256,brace,29,leg,N/A
288,brace,304,brace,5.449104e-06
152,horizontal,153,horizontal,2.559976e-06
258,brace,31,leg,N/A
394,brace,402,brace,2.618756e-06
380,brace,381,brace,2.124988e-06
185,horizontal,381,brace,5.679253e-06
391,brace,84,leg,N/A
380,brace,405,brace,1.514218e-07
399,brace,76,leg,N/A
389,brace,75,leg,N/A
382,brace,399,brace,1.514218e-07
24,leg,247,brace,N/A
10,leg,111,horizontal,N/A
10,leg,6,leg,N/A
346,brace,350,brace,1.921706e-05
340,brace,61,leg,N/A
151,horizontal,313,brace,6.995711e-07
266,brace,278,brace,4.228889e-06
386,brace,78,leg,N/A
236,brace,9,leg,N/A
451,brace,90,leg,N/A
216,brace,220,brace,3.274235e-06
170,horizontal,356,brace,1.198134e-06
137,horizontal,272,brace,1.048063e-05
423,brace,92,leg,N/A
354,brace,75,leg,N/A
148,horizontal,49,leg,N/A
453,brace,95,leg,N/A
418,brace,419,brace,2.180615e-06
45,leg,49,leg,N/A
12,leg,16,leg,N/A
15,leg,226,brace,N/A
287,brace,41,leg,N/A
436,brace,437,brace,2.688886e-06
24,leg,267,brace,N/A
178,horizontal,181,horizontal,6.400020e-07
392,brace,81,leg,N/A
187,horizontal,401,brace,5.854139e-06
250,brace,27,leg,N/A
407,brace,414,brace,2.177345e-06
194,horizontal,431,brace,6.942799e-06
98,horizontal,99,horizontal,6.400172e-07
203,horizontal,440,brace,7.691083e-06
190,horizontal,407,brace,5.540765e-06
40,leg,44,leg,N/A
132,horizontal,32,leg,N/A
263,brace,32,leg,N/A
23,leg,249,brace,N/A
382,brace,80,leg,N/A
21,leg,260,brace,N/A
36,leg,40,leg,N/A
437,brace,438,brace,2.970799e-06
319,brace,53,leg,N/A
119,horizontal,18,leg,N/A
343,brace,65,leg,N/A
197,horizontal,200,horizontal,1.810193e-06
196,horizontal,428,brace,7.474245e-06
23,leg,250,brace,N/A
107,horizontal,217,brace,6.400783e-07
123,horizontal,126,horizontal,1.545131e-06
144,horizontal,44,leg,N/A
202,horizontal,427,brace,3.696394e-07
190,horizontal,408,brace,5.540764e-06
128,horizontal,129,horizontal,6.400172e-07
155,horizontal,320,brace,1.336540e-05
378,brace,78,leg,N/A
138,horizontal,139,horizontal,6.400172e-07
240,brace,244,brace,3.519421e-06
379,brace,388,brace,3.653630e-09
56,leg,60,leg,N/A
153,horizontal,307,brace,1.280485e-06
114,horizontal,12,leg,N/A
163,horizontal,341,brace,1.189442e-06
162,horizontal,60,leg,N/A
449,brace,93,leg,N/A
136,horizontal,284,brace,6.197174e-07
340,brace,57,leg,N/A
316,brace,54,leg,N/A
1,leg,212,brace,N/A
377,brace,77,leg,N/A
60,leg,64,leg,N/A
377,brace,378,brace,2.265752e-06
429,brace,438,brace,5.071731e-09
162,horizontal,165,horizontal,9.112015e-07
410,brace,418,brace,2.324595e-06
452,brace,91,leg,N/A
129,horizontal,257,brace,6.688706e-07
105,horizontal,7,leg,N/A
351,brace,69,leg,N/A
106,horizontal,9,leg,N/A
248,brace,25,leg,N/A
119,horizontal,252,brace,1.037438e-05
157,horizontal,310,brace,1.158315e-05
348,brace,61,leg,N/A
112,horizontal,14,leg,N/A
57,leg,61,leg,N/A
195,horizontal,90,leg,N/A
368,brace,73,leg,N/A
343,brace,68,leg,N/A
336,brace,348,brace,1.818739e-05
443,brace,94,leg,N/A
152,horizontal,154,horizontal,1.545057e-06
447,brace,88,leg,N/A
176,horizontal,370,brace,1.343790e-06
197,horizontal,88,leg,N/A
178,horizontal,367,brace,4.869261e-06
216,brace,6,leg,N/A
390,brace,72,leg,N/A
125,horizontal,260,brace,7.536569e-06
11,leg,218,brace,N/A
230,brace,7,leg,N/A
440,brace,441,brace,2.629897e-06
310,brace,51,leg,N/A
13,leg,232,brace,N/A
347,brace,60,leg,N/A
11,leg,7,leg,N/A
393,brace,394,brace,2.135594e-06
359,brace,76,leg,N/A
128,horizontal,256,brace,6.688706e-07
314,brace,44,leg,N/A
166,horizontal,61,leg,N/A
373,brace,71,leg,N/A
2,leg,96,horizontal,N/A
221,brace,7,leg,N/A
195,horizontal,425,brace,7.474247e-06
134,horizontal,278,brace,6.212534e-07
121,horizontal,23,leg,N/A
393,brace,85,leg,N/A
24,leg,262,brace,N/A
308,brace,49,leg,N/A
159,horizontal,315,brace,9.329143e-07
433,brace,85,leg,N/A
196,horizontal,202,horizontal,1.280021e-06
359,brace,383,brace,2.280347e-06
180,horizontal,372,brace,4.869261e-06
142,horizontal,39,leg,N/A
174,horizontal,69,leg,N/A
414,brace,438,brace,2.976366e-06
146,horizontal,147,horizontal,6.399867e-07
306,brace,47,leg,N/A
193,horizontal,421,brace,5.189437e-06
336,brace,340,brace,1.721091e-05
198,horizontal,431,brace,3.532980e-07
133,horizontal,277,brace,6.212534e-07
161,horizontal,55,leg,N/A
174,horizontal,352,brace,1.231559e-06
96,horizontal,98,horizontal,1.545131e-06
320,brace,53,leg,N/A
140,horizontal,37,leg,N/A
366,brace,76,leg,N/A
150,horizontal,151,horizontal,6.400172e-07
291,brace,41,leg,N/A
296,brace,312,brace,5.994329e-06
153,horizontal,51,leg,N/A
10,leg,228,brace,N/A
416,brace,417,brace,2.180615e-06
66,leg,70,leg,N/A
307,brace,48,leg,N/A
249,brace,253,brace,4.693681e-06
242,brace,246,brace,3.519421e-06
444,brace,452,brace,3.967164e-06
101,horizontal,211,brace,6.400172e-07
163,horizontal,164,horizontal,9.112015e-07
156,horizontal,50,leg,N/A
283,brace,36,leg,N/A
116,horizontal,234,brace,6.400172e-07
424,brace,448,brace,3.917071e-06
360,brace,77,leg,N/A
192,horizontal,86,leg,N/A
125,horizontal,126,horizontal,6.400172e-07
345,brace,349,brace,1.921706e-05
366,brace,383,brace,1.320141e-07
117,horizontal,15,leg,N/A
155,horizontal,319,brace,7.040893e-07
329,brace,59,leg,N/A
142,horizontal,282,brace,6.597878e-07
287,brace,44,leg,N/A
440,brace,447,brace,5.051850e-09
337,brace,349,brace,1.818739e-05
403,brace,404,brace,2.134046e-06
397,brace,406,brace,3.586753e-09
406,brace,76,leg,N/A
387,brace,388,brace,2.263015e-06
213,brace,3,leg,N/A
137,horizontal,284,brace,9.764486e-06
176,horizontal,353,brace,2.866600e-05
364,brace,389,brace,1.320141e-07
303,brace,45,leg,N/A
130,horizontal,131,horizontal,6.400172e-07
431,brace,438,brace,2.688886e-06
20,leg,251,brace,N/A
451,brace,452,brace,2.919792e-06
359,brace,390,brace,1.320182e-07
255,brace,259,brace,3.241214e-06
426,brace,450,brace,3.917071e-06
140,horizontal,280,brace,6.597878e-07
448,brace,89,leg,N/A
319,brace,52,leg,N/A
103,horizontal,5,leg,N/A
383,brace,72,leg,N/A
415,brace,416,brace,2.295496e-06
184,horizontal,380,brace,5.679235e-06
440,brace,448,brace,3.967164e-06
291,brace,36,leg,N/A
105,horizontal,222,brace,7.851982e-06
1,leg,211,brace,N/A
17,leg,239,brace,N/A
203,horizontal,93,leg,N/A
407,brace,88,leg,N/A
299,brace,44,leg,N/A
317,brace,333,brace,9.478985e-06
191,horizontal,410,brace,5.540764e-06
169,horizontal,60,leg,N/A
199,horizontal,425,brace,3.281039e-07
360,brace,368,brace,2.177902e-06
384,brace,77,leg,N/A
182,horizontal,375,brace,5.679253e-06
121,horizontal,251,brace,6.400172e-07
155,horizontal,53,leg,N/A
2,leg,208,brace,N/A
205,horizontal,206,horizontal,6.399839e-07
160,horizontal,316,brace,9.329143e-07
279,brace,291,brace,4.703400e-06
12,leg,223,brace,N/A
163,horizontal,325,brace,9.221391e-07
293,brace,38,leg,N/A
104,horizontal,6,leg,N/A
290,brace,40,leg,N/A
316,brace,332,brace,9.478985e-06
444,brace,95,leg,N/A
366,brace,390,brace,2.280361e-06
115,horizontal,233,brace,6.400172e-07
169,horizontal,350,brace,2.378340e-05
145,horizontal,289,brace,6.572990e-07
