Member A,Class A,Member B,Class B,Volume (m³)
194,horizontal,197,horizontal,6.400211e-07
167,horizontal,348,brace,2.378340e-05
363,brace,74,leg,N/A
328,brace,58,leg,N/A
292,brace,42,leg,N/A
178,horizontal,73,leg,N/A
231,brace,235,brace,3.433837e-06
14,leg,245,brace,N/A
160,horizontal,59,leg,N/A
132,horizontal,28,leg,N/A
196,horizontal,199,horizontal,1.810193e-06
400,brace,77,leg,N/A
103,horizontal,209,brace,6.399562e-07
145,horizontal,45,leg,N/A
352,brace,69,leg,N/A
430,brace,88,leg,N/A
136,horizontal,283,brace,9.764486e-06
139,horizontal,35,leg,N/A
291,brace,40,leg,N/A
151,horizontal,47,leg,N/A
176,horizontal,371,brace,5.263844e-06
148,horizontal,314,brace,6.995711e-07
181,horizontal,366,brace,5.188302e-06
382,brace,76,leg,N/A
13,leg,235,brace,N/A
289,brace,293,brace,4.941456e-06
197,horizontal,437,brace,6.942799e-06
116,horizontal,117,horizontal,6.400172e-07
100,horizontal,213,brace,7.853484e-06
176,horizontal,372,brace,5.263842e-06
423,brace,454,brace,2.397049e-07
419,brace,86,leg,N/A
20,leg,254,brace,N/A
156,horizontal,308,brace,7.398971e-07
304,brace,45,leg,N/A
307,brace,53,leg,N/A
88,leg,92,leg,N/A
216,brace,228,brace,3.274242e-06
147,horizontal,44,leg,N/A
450,brace,451,brace,2.630847e-06
117,horizontal,231,brace,6.400172e-07
264,brace,30,leg,N/A
249,brace,261,brace,3.808301e-06
396,brace,421,brace,1.491358e-07
165,horizontal,339,brace,1.189442e-06
183,horizontal,386,brace,5.315662e-06
425,brace,433,brace,3.862435e-06
159,horizontal,58,leg,N/A
204,horizontal,441,brace,7.691083e-06
219,brace,4,leg,N/A
111,horizontal,224,brace,7.851999e-06
200,horizontal,437,brace,1.250816e-06
187,horizontal,82,leg,N/A
152,horizontal,156,horizontal,1.545057e-06
14,leg,225,brace,N/A
204,horizontal,93,leg,N/A
121,horizontal,254,brace,1.037438e-05
372,brace,71,leg,N/A
342,brace,59,leg,N/A
163,horizontal,340,brace,2.159841e-05
353,brace,71,leg,N/A
11,leg,225,brace,N/A
215,brace,219,brace,3.274235e-06
176,horizontal,75,leg,N/A
433,brace,89,leg,N/A
414,brace,421,brace,3.676028e-09
375,brace,382,brace,2.124988e-06
321,brace,51,leg,N/A
127,horizontal,23,leg,N/A
193,horizontal,87,leg,N/A
323,brace,339,brace,1.268725e-05
157,horizontal,309,brace,7.398971e-07
179,horizontal,362,brace,5.188302e-06
450,brace,90,leg,N/A
386,brace,387,brace,2.127937e-06
123,horizontal,25,leg,N/A
335,brace,347,brace,1.818739e-05
411,brace,90,leg,N/A
73,leg,77,leg,N/A
175,horizontal,73,leg,N/A
226,brace,238,brace,3.352943e-06
129,horizontal,268,brace,8.473809e-06
352,brace,368,brace,5.043994e-07
337,brace,62,leg,N/A
447,brace,448,brace,2.919792e-06
148,horizontal,48,leg,N/A
149,horizontal,295,brace,6.527667e-07
326,brace,59,leg,N/A
325,brace,62,leg,N/A
412,brace,419,brace,3.676028e-09
352,brace,70,leg,N/A
382,brace,390,brace,2.381296e-06
335,brace,61,leg,N/A
156,horizontal,309,brace,1.158315e-05
176,horizontal,177,horizontal,9.112402e-07
336,brace,65,leg,N/A
126,horizontal,127,horizontal,6.400172e-07
425,brace,93,leg,N/A
207,brace,211,brace,3.274242e-06
13,leg,244,brace,N/A
133,horizontal,276,brace,1.027536e-05
233,brace,245,brace,3.476685e-06
153,horizontal,155,horizontal,1.545057e-06
175,horizontal,74,leg,N/A
206,horizontal,92,leg,N/A
117,horizontal,16,leg,N/A
122,horizontal,261,brace,1.000902e-06
407,brace,408,brace,2.298588e-06
111,horizontal,237,brace,6.400172e-07
332,brace,57,leg,N/A
139,horizontal,39,leg,N/A
264,brace,268,brace,3.766075e-06
156,horizontal,320,brace,7.040893e-07
205,horizontal,443,brace,7.691083e-06
319,brace,49,leg,N/A
393,brace,401,brace,2.618787e-06
424,brace,431,brace,5.068475e-09
278,brace,35,leg,N/A
140,horizontal,141,horizontal,6.400172e-07
194,horizontal,88,leg,N/A
132,horizontal,264,brace,6.644370e-07
121,horizontal,16,leg,N/A
193,horizontal,84,leg,N/A
192,horizontal,87,leg,N/A
189,horizontal,80,leg,N/A
353,brace,74,leg,N/A
334,brace,59,leg,N/A
195,horizontal,426,brace,7.474245e-06
201,horizontal,424,brace,3.280990e-07
184,horizontal,78,leg,N/A
199,horizontal,428,brace,3.280990e-07
437,brace,87,leg,N/A
275,brace,28,leg,N/A
131,horizontal,255,brace,6.688706e-07
305,brace,42,leg,N/A
345,brace,66,leg,N/A
204,horizontal,449,brace,7.142746e-06
154,horizontal,319,brace,1.336540e-05
411,brace,419,brace,2.324582e-06
398,brace,405,brace,3.586880e-09
157,horizontal,48,leg,N/A
428,brace,452,brace,3.917071e-06
141,horizontal,37,leg,N/A
141,horizontal,281,brace,6.597878e-07
107,horizontal,5,leg,N/A
439,brace,448,brace,5.052305e-09
439,brace,446,brace,2.629892e-06
28,leg,32,leg,N/A
380,brace,83,leg,N/A
222,brace,7,leg,N/A
109,horizontal,227,brace,6.399562e-07
380,brace,79,leg,N/A
97,horizontal,99,horizontal,1.545131e-06
136,horizontal,33,leg,N/A
318,brace,52,leg,N/A
415,brace,80,leg,N/A
365,brace,366,brace,2.385790e-06
401,brace,77,leg,N/A
178,horizontal,359,brace,5.188296e-06
152,horizontal,310,brace,1.280485e-06
444,brace,445,brace,2.629897e-06
276,brace,34,leg,N/A
364,brace,365,brace,2.334321e-06
126,horizontal,23,leg,N/A
163,horizontal,58,leg,N/A
214,brace,97,horizontal,1.044109e-06
147,horizontal,290,brace,1.083530e-05
351,brace,68,leg,N/A
425,brace,448,brace,2.397049e-07
402,brace,403,brace,1.946219e-06
431,brace,432,brace,2.970799e-06
354,brace,373,brace,5.457619e-06
328,brace,57,leg,N/A
425,brace,449,brace,3.917074e-06
430,brace,437,brace,5.068475e-09
239,brace,251,brace,4.054617e-06
339,brace,61,leg,N/A
16,leg,242,brace,N/A
141,horizontal,280,brace,9.967258e-06
223,brace,9,leg,N/A
65,leg,69,leg,N/A
97,horizontal,98,horizontal,1.545131e-06
416,brace,81,leg,N/A
18,leg,244,brace,N/A
175,horizontal,370,brace,5.263842e-06
262,brace,27,leg,N/A
164,horizontal,59,leg,N/A
428,brace,95,leg,N/A
64,leg,68,leg,N/A
18,leg,22,leg,N/A
434,brace,90,leg,N/A
394,brace,419,brace,1.491358e-07
17,leg,240,brace,N/A
138,horizontal,285,brace,9.764486e-06
30,leg,34,leg,N/A
197,horizontal,91,leg,N/A
396,brace,87,leg,N/A
438,brace,88,leg,N/A
428,brace,429,brace,2.687449e-06
122,horizontal,125,horizontal,1.545131e-06
343,brace,355,brace,2.111612e-05
173,horizontal,64,leg,N/A
199,horizontal,426,brace,1.186825e-06
100,horizontal,99,horizontal,6.400172e-07
202,horizontal,423,brace,3.696409e-07
118,horizontal,251,brace,1.037438e-05
143,horizontal,36,leg,N/A
124,horizontal,25,leg,N/A
152,horizontal,50,leg,N/A
191,horizontal,418,brace,5.189436e-06
131,horizontal,28,leg,N/A
11,leg,238,brace,N/A
284,brace,33,leg,N/A
178,horizontal,360,brace,5.188302e-06
430,brace,447,brace,2.397099e-07
199,horizontal,202,horizontal,1.545103e-06
110,horizontal,223,brace,7.851999e-06
344,brace,69,leg,N/A
338,brace,60,leg,N/A
115,horizontal,14,leg,N/A
77,leg,81,leg,N/A
113,horizontal,226,brace,7.851999e-06
374,brace,72,leg,N/A
12,leg,238,brace,N/A
174,horizontal,68,leg,N/A
135,horizontal,266,brace,8.669741e-06
167,horizontal,65,leg,N/A
190,horizontal,415,brace,5.189437e-06
110,horizontal,9,leg,N/A
268,brace,30,leg,N/A
318,brace,56,leg,N/A
0,leg,211,brace,N/A
107,horizontal,229,brace,6.399562e-07
182,horizontal,383,brace,5.315668e-06
338,brace,350,brace,1.818739e-05
286,brace,39,leg,N/A
363,brace,371,brace,2.177888e-06
322,brace,48,leg,N/A
360,brace,367,brace,3.729079e-09
195,horizontal,199,horizontal,1.810193e-06
106,horizontal,215,brace,7.853698e-06
326,brace,330,brace,1.208448e-05
410,brace,417,brace,3.676028e-09
281,brace,285,brace,4.474023e-06
162,horizontal,339,brace,2.159841e-05
128,horizontal,268,brace,6.148798e-07
192,horizontal,412,brace,5.540764e-06
131,horizontal,270,brace,8.473809e-06
159,horizontal,54,leg,N/A
413,brace,91,leg,N/A
370,brace,70,leg,N/A
377,brace,386,brace,3.653630e-09
364,brace,79,leg,N/A
399,brace,80,leg,N/A
363,brace,372,brace,3.725199e-09
282,brace,43,leg,N/A
427,brace,428,brace,2.972433e-06
188,horizontal,396,brace,6.265125e-06
132,horizontal,263,brace,8.669741e-06
176,horizontal,354,brace,1.231559e-06
344,brace,348,brace,1.921706e-05
108,horizontal,7,leg,N/A
158,horizontal,159,horizontal,9.112643e-07
240,brace,252,brace,4.054617e-06
143,horizontal,40,leg,N/A
359,brace,367,brace,2.177888e-06
422,brace,84,leg,N/A
313,brace,50,leg,N/A
379,brace,78,leg,N/A
14,leg,236,brace,N/A
148,horizontal,44,leg,N/A
11,leg,226,brace,N/A
381,brace,382,brace,2.265752e-06
208,brace,212,brace,3.274242e-06
277,brace,30,leg,N/A
10,leg,224,brace,N/A
414,brace,84,leg,N/A
196,horizontal,436,brace,6.942797e-06
155,horizontal,49,leg,N/A
195,horizontal,434,brace,6.942797e-06
148,horizontal,295,brace,1.308550e-05
118,horizontal,20,leg,N/A
113,horizontal,15,leg,N/A
125,horizontal,26,leg,N/A
377,brace,385,brace,2.381277e-06
17,leg,243,brace,N/A
172,horizontal,70,leg,N/A
362,brace,78,leg,N/A
130,horizontal,27,leg,N/A
115,horizontal,116,horizontal,6.400172e-07
179,horizontal,370,brace,4.869261e-06
131,horizontal,267,brace,6.148798e-07
157,horizontal,51,leg,N/A
367,brace,368,brace,2.381841e-06
265,brace,277,brace,4.228889e-06
53,leg,57,leg,N/A
75,leg,79,leg,N/A
164,horizontal,341,brace,2.159841e-05
182,horizontal,77,leg,N/A
134,horizontal,30,leg,N/A
399,brace,406,brace,1.946220e-06
378,brace,82,leg,N/A
106,horizontal,8,leg,N/A
226,brace,8,leg,N/A
144,horizontal,45,leg,N/A
149,horizontal,49,leg,N/A
164,horizontal,326,brace,9.221391e-07
365,brace,388,brace,1.320182e-07
189,horizontal,83,leg,N/A
218,brace,4,leg,N/A
1,leg,99,horizontal,N/A
101,horizontal,98,horizontal,6.400172e-07
123,horizontal,250,brace,1.104272e-06
130,horizontal,258,brace,6.688706e-07
177,horizontal,71,leg,N/A
158,horizontal,52,leg,N/A
156,horizontal,51,leg,N/A
198,horizontal,425,brace,1.186838e-06
402,brace,78,leg,N/A
114,horizontal,243,brace,8.276783e-06
454,brace,88,leg,N/A
408,brace,409,brace,2.177344e-06
272,brace,37,leg,N/A
154,horizontal,52,leg,N/A
395,brace,404,brace,3.586753e-09
433,brace,434,brace,2.970799e-06
103,horizontal,221,brace,6.399562e-07
302,brace,44,leg,N/A
150,horizontal,313,brace,1.134613e-05
115,horizontal,18,leg,N/A
114,horizontal,17,leg,N/A
151,horizontal,297,brace,6.527667e-07
22,leg,26,leg,N/A
27,leg,31,leg,N/A
142,horizontal,43,leg,N/A
298,brace,314,brace,5.994329e-06
11,leg,15,leg,N/A
116,horizontal,246,brace,6.400172e-07
361,brace,362,brace,2.385790e-06
106,horizontal,4,leg,N/A
123,horizontal,262,brace,1.000902e-06
442,brace,450,brace,3.967164e-06
124,horizontal,247,brace,1.037438e-05
143,horizontal,294,brace,1.062984e-05
1,leg,98,horizontal,N/A
300,brace,45,leg,N/A
166,horizontal,348,brace,1.193025e-06
398,brace,80,leg,N/A
452,brace,453,brace,2.630847e-06
328,brace,332,brace,1.192487e-05
70,leg,74,leg,N/A
334,brace,52,leg,N/A
394,brace,395,brace,1.944707e-06
389,brace,79,leg,N/A
112,horizontal,238,brace,6.400172e-07
129,horizontal,269,brace,6.148798e-07
146,horizontal,305,brace,1.266240e-05
206,horizontal,454,brace,7.142747e-06
150,horizontal,296,brace,6.527667e-07
111,horizontal,14,leg,N/A
280,brace,37,leg,N/A
221,brace,6,leg,N/A
199,horizontal,434,brace,1.250820e-06
258,brace,27,leg,N/A
121,horizontal,19,leg,N/A
381,brace,405,brace,2.500207e-06
181,horizontal,72,leg,N/A
23,leg,253,brace,N/A
24,leg,258,brace,N/A
184,horizontal,79,leg,N/A
445,brace,453,brace,3.967182e-06
124,horizontal,20,leg,N/A
241,brace,253,brace,4.054617e-06
317,brace,55,leg,N/A
44,leg,48,leg,N/A
110,horizontal,12,leg,N/A
380,brace,404,brace,2.500191e-06
169,horizontal,338,brace,2.200452e-05
160,horizontal,161,horizontal,9.112643e-07
312,brace,46,leg,N/A
390,brace,76,leg,N/A
174,horizontal,73,leg,N/A
106,horizontal,228,brace,6.399562e-07
358,brace,71,leg,N/A
360,brace,385,brace,1.320141e-07
429,brace,95,leg,N/A
153,horizontal,321,brace,1.266393e-06
330,brace,59,leg,N/A
416,brace,85,leg,N/A
399,brace,400,brace,2.134046e-06
326,brace,56,leg,N/A
158,horizontal,56,leg,N/A
152,horizontal,320,brace,1.266393e-06
138,horizontal,34,leg,N/A
377,brace,400,brace,1.514347e-07
378,brace,403,brace,1.514218e-07
13,leg,231,brace,N/A
185,horizontal,382,brace,5.679235e-06
159,horizontal,332,brace,2.447153e-05
165,horizontal,59,leg,N/A
388,brace,75,leg,N/A
21,leg,252,brace,N/A
298,brace,48,leg,N/A
173,horizontal,68,leg,N/A
317,brace,54,leg,N/A
112,horizontal,226,brace,6.399562e-07
436,brace,87,leg,N/A
130,horizontal,26,leg,N/A
194,horizontal,423,brace,7.474247e-06
264,brace,276,brace,4.228889e-06
228,brace,5,leg,N/A
372,brace,75,leg,N/A
16,leg,231,brace,N/A
287,brace,291,brace,4.941456e-06
391,brace,399,brace,2.618787e-06
188,horizontal,82,leg,N/A
125,horizontal,249,brace,6.400172e-07
141,horizontal,42,leg,N/A
142,horizontal,42,leg,N/A
266,brace,35,leg,N/A
145,horizontal,305,brace,6.265995e-07
168,horizontal,169,horizontal,9.112643e-07
356,brace,69,leg,N/A
264,brace,33,leg,N/A
171,horizontal,172,horizontal,9.112402e-07
59,leg,63,leg,N/A
397,brace,421,brace,2.453137e-06
384,brace,385,brace,2.127937e-06
334,brace,56,leg,N/A
122,horizontal,124,horizontal,1.545131e-06
166,horizontal,64,leg,N/A
257,brace,30,leg,N/A
312,brace,50,leg,N/A
444,brace,451,brace,5.051850e-09
2,leg,212,brace,N/A
186,horizontal,80,leg,N/A
120,horizontal,253,brace,1.037438e-05
160,horizontal,58,leg,N/A
43,leg,47,leg,N/A
12,leg,231,brace,N/A
389,brace,390,brace,2.263015e-06
352,brace,369,brace,5.457619e-06
123,horizontal,248,brace,1.104272e-06
139,horizontal,36,leg,N/A
289,brace,46,leg,N/A
152,horizontal,48,leg,N/A
105,horizontal,4,leg,N/A
12,leg,8,leg,N/A
10,leg,217,brace,N/A
310,brace,322,brace,7.030888e-06
11,leg,230,brace,N/A
164,horizontal,325,brace,2.508924e-05
146,horizontal,46,leg,N/A
171,horizontal,65,leg,N/A
413,brace,414,brace,2.298588e-06
22,leg,249,brace,N/A
376,brace,377,brace,2.124988e-06
15,leg,238,brace,N/A
299,brace,45,leg,N/A
117,horizontal,12,leg,N/A
176,horizontal,373,brace,1.343790e-06
55,leg,59,leg,N/A
173,horizontal,67,leg,N/A
426,brace,433,brace,5.068475e-09
155,horizontal,308,brace,1.158315e-05
257,brace,27,leg,N/A
190,horizontal,85,leg,N/A
393,brace,416,brace,1.491348e-07
272,brace,34,leg,N/A
201,horizontal,430,brace,1.186825e-06
320,brace,54,leg,N/A
112,horizontal,15,leg,N/A
445,brace,446,brace,2.921059e-06
447,brace,92,leg,N/A
391,brace,80,leg,N/A
158,horizontal,161,horizontal,9.112643e-07
297,brace,313,brace,5.994329e-06
160,horizontal,317,brace,1.672458e-05
170,horizontal,173,horizontal,9.112402e-07
269,brace,31,leg,N/A
111,horizontal,13,leg,N/A
172,horizontal,345,brace,2.419333e-05
404,brace,405,brace,1.946219e-06
154,horizontal,49,leg,N/A
182,horizontal,376,brace,5.679235e-06
235,brace,8,leg,N/A
311,brace,48,leg,N/A
2,leg,209,brace,N/A
234,brace,238,brace,3.433837e-06
322,brace,52,leg,N/A
338,brace,342,brace,1.721089e-05
287,brace,303,brace,5.449104e-06
25,leg,255,brace,N/A
109,horizontal,218,brace,7.853698e-06
132,horizontal,275,brace,1.027536e-05
263,brace,275,brace,4.228889e-06
154,horizontal,310,brace,7.398971e-07
344,brace,65,leg,N/A
263,brace,29,leg,N/A
206,horizontal,95,leg,N/A
22,leg,252,brace,N/A
109,horizontal,7,leg,N/A
0,leg,102,horizontal,N/A
356,brace,70,leg,N/A
200,horizontal,427,brace,3.281039e-07
122,horizontal,22,leg,N/A
190,horizontal,84,leg,N/A
215,brace,5,leg,N/A
188,horizontal,403,brace,5.854139e-06
277,brace,35,leg,N/A
407,brace,415,brace,2.324582e-06
198,horizontal,423,brace,3.281039e-07
115,horizontal,245,brace,6.400172e-07
296,brace,46,leg,N/A
272,brace,284,brace,4.607649e-06
424,brace,425,brace,2.687449e-06
274,brace,278,brace,4.751185e-06
161,horizontal,334,brace,2.447153e-05
42,leg,46,leg,N/A
299,brace,303,brace,6.022320e-06
351,brace,355,brace,2.327243e-05
145,horizontal,146,horizontal,6.399867e-07
110,horizontal,236,brace,6.400172e-07
142,horizontal,38,leg,N/A
410,brace,86,leg,N/A
273,brace,34,leg,N/A
367,brace,374,brace,2.338089e-06
270,brace,28,leg,N/A
210,brace,7,leg,N/A
127,horizontal,24,leg,N/A
439,brace,92,leg,N/A
121,horizontal,242,brace,8.276783e-06
34,leg,38,leg,N/A
119,horizontal,240,brace,8.276783e-06
155,horizontal,54,leg,N/A
207,brace,4,leg,N/A
270,brace,31,leg,N/A
120,horizontal,254,brace,6.400172e-07
383,brace,390,brace,2.127936e-06
271,brace,32,leg,N/A
408,brace,416,brace,2.324595e-06
111,horizontal,112,horizontal,6.400172e-07
134,horizontal,35,leg,N/A
282,brace,39,leg,N/A
451,brace,94,leg,N/A
397,brace,398,brace,2.135594e-06
166,horizontal,335,brace,2.200452e-05
321,brace,55,leg,N/A
417,brace,85,leg,N/A
274,brace,39,leg,N/A
198,horizontal,426,brace,3.280990e-07
271,brace,36,leg,N/A
348,brace,65,leg,N/A
326,brace,63,leg,N/A
20,leg,259,brace,N/A
158,horizontal,334,brace,8.994886e-07
353,brace,357,brace,2.327243e-05
213,brace,99,horizontal,6.400172e-07
140,horizontal,291,brace,1.062984e-05
361,brace,370,brace,3.725199e-09
137,horizontal,138,horizontal,6.400172e-07
3,leg,97,horizontal,N/A
198,horizontal,202,horizontal,1.545103e-06
280,brace,284,brace,4.474023e-06
23,leg,262,brace,N/A
149,horizontal,45,leg,N/A
119,horizontal,120,horizontal,6.400172e-07
309,brace,51,leg,N/A
142,horizontal,143,horizontal,6.400172e-07
296,brace,50,leg,N/A
314,brace,51,leg,N/A
357,brace,70,leg,N/A
369,brace,370,brace,2.381810e-06
382,brace,406,brace,2.500191e-06
379,brace,387,brace,2.381277e-06
148,horizontal,149,horizontal,6.400172e-07
392,brace,416,brace,2.453134e-06
150,horizontal,47,leg,N/A
186,horizontal,400,brace,5.854137e-06
201,horizontal,432,brace,3.532993e-07
321,brace,54,leg,N/A
424,brace,93,leg,N/A
257,brace,26,leg,N/A
122,horizontal,127,horizontal,1.545131e-06
139,horizontal,274,brace,1.048063e-05
453,brace,91,leg,N/A
298,brace,44,leg,N/A
166,horizontal,347,brace,2.378340e-05
283,brace,37,leg,N/A
166,horizontal,65,leg,N/A
153,horizontal,319,brace,1.266392e-06
172,horizontal,67,leg,N/A
124,horizontal,248,brace,6.400172e-07
397,brace,87,leg,N/A
408,brace,432,brace,2.976366e-06
147,horizontal,303,brace,6.265995e-07
360,brace,361,brace,2.334321e-06
362,brace,387,brace,1.320141e-07
229,brace,6,leg,N/A
96,horizontal,99,horizontal,1.545131e-06
199,horizontal,436,brace,3.532993e-07
110,horizontal,111,horizontal,6.400172e-07
440,brace,93,leg,N/A
198,horizontal,201,horizontal,6.400111e-07
167,horizontal,66,leg,N/A
67,leg,71,leg,N/A
180,horizontal,371,brace,4.869261e-06
362,brace,363,brace,2.334321e-06
180,horizontal,363,brace,5.188296e-06
114,horizontal,117,horizontal,6.400172e-07
35,leg,39,leg,N/A
285,brace,34,leg,N/A
391,brace,400,brace,3.586753e-09
0,leg,98,horizontal,N/A
118,horizontal,121,horizontal,6.400172e-07
137,horizontal,34,leg,N/A
116,horizontal,19,leg,N/A
122,horizontal,259,brace,1.000902e-06
1,leg,103,horizontal,N/A
148,horizontal,151,horizontal,6.400172e-07
411,brace,86,leg,N/A
196,horizontal,435,brace,6.942799e-06
191,horizontal,417,brace,5.189437e-06
430,brace,92,leg,N/A
165,horizontal,342,brace,2.159841e-05
359,brace,360,brace,2.385790e-06
288,brace,42,leg,N/A
179,horizontal,180,horizontal,6.400020e-07
378,brace,385,brace,3.642665e-09
119,horizontal,17,leg,N/A
439,brace,440,brace,2.921059e-06
309,brace,313,brace,6.405012e-06
318,brace,322,brace,7.726206e-06
428,brace,436,brace,3.862433e-06
177,horizontal,372,brace,1.343790e-06
294,brace,39,leg,N/A
164,horizontal,58,leg,N/A
12,leg,243,brace,N/A
104,horizontal,105,horizontal,6.399562e-07
223,brace,8,leg,N/A
420,brace,83,leg,N/A
283,brace,32,leg,N/A
202,horizontal,436,brace,3.998263e-07
115,horizontal,244,brace,8.276783e-06
210,brace,222,brace,3.274235e-06
335,brace,64,leg,N/A
363,brace,78,leg,N/A
155,horizontal,307,brace,7.398971e-07
183,horizontal,377,brace,5.679253e-06
113,horizontal,223,brace,6.399562e-07
395,brace,419,brace,2.453137e-06
153,horizontal,154,horizontal,1.545057e-06
267,brace,29,leg,N/A
332,brace,58,leg,N/A
211,brace,98,horizontal,7.853484e-06
275,brace,32,leg,N/A
151,horizontal,298,brace,1.308550e-05
392,brace,393,brace,1.944707e-06
313,brace,51,leg,N/A
187,horizontal,188,horizontal,6.399829e-07
181,horizontal,373,brace,4.869261e-06
180,horizontal,75,leg,N/A
424,brace,449,brace,2.397099e-07
264,brace,29,leg,N/A
118,horizontal,21,leg,N/A
339,brace,56,leg,N/A
164,horizontal,63,leg,N/A
19,leg,254,brace,N/A
102,horizontal,220,brace,6.399562e-07
128,horizontal,24,leg,N/A
256,brace,268,brace,3.497105e-06
192,horizontal,420,brace,5.189436e-06
177,horizontal,75,leg,N/A
0,leg,4,leg,N/A
198,horizontal,199,horizontal,6.400111e-07
13,leg,9,leg,N/A
349,brace,62,leg,N/A
206,horizontal,445,brace,7.691083e-06
429,brace,430,brace,2.972435e-06
195,horizontal,198,horizontal,1.810193e-06
394,brace,86,leg,N/A
175,horizontal,176,horizontal,9.112402e-07
110,horizontal,8,leg,N/A
100,horizontal,214,brace,6.400172e-07
204,horizontal,205,horizontal,6.399839e-07
408,brace,85,leg,N/A
150,horizontal,312,brace,6.995711e-07
346,brace,358,brace,2.111612e-05
412,brace,436,brace,2.976366e-06
186,horizontal,187,horizontal,6.399829e-07
388,brace,389,brace,2.127937e-06
249,brace,26,leg,N/A
330,brace,56,leg,N/A
152,horizontal,52,leg,N/A
419,brace,82,leg,N/A
212,brace,99,horizontal,7.853484e-06
48,leg,52,leg,N/A
58,leg,62,leg,N/A
410,brace,90,leg,N/A
356,brace,65,leg,N/A
165,horizontal,56,leg,N/A
158,horizontal,57,leg,N/A
325,brace,59,leg,N/A
133,horizontal,264,brace,8.669741e-06
250,brace,254,brace,4.693681e-06
133,horizontal,134,horizontal,6.399867e-07
198,horizontal,434,brace,3.532993e-07